Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/bi-quyet-ve-ky-hoa-tai-ban.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_244718_1_5017.jpg "

					Bí Quyết Vẽ Ký Họa (Tái Bản)				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Huỳnh Phạm Hương Trang				" "
				    NXB Thanh Hóa				" "
				    2021				" "
				    27 x 19 x 0.7 cm				" "
				    Bìa Mềm				" "
Bí Quyết Vẽ Ký Họa (Tái Bản)
Vẽ ký hoạ rất thú vị, thậm chí có thể xem như một công việc có tính giải trí nhưng điều quan trọng hơn là khi đã làm chủ được kỹ thuật vẽ ký hoạ thì mới đảm bảo việc thực hiện thành công các loại hình nghệ thuật hội hoạ khác nhau. Đây chính là kinh nghiệm mà mọi hoạ sĩ đều thống nhất.
Bí quyết vẽ ký hoạ sẽ giúp các bạn nắm bắt nhanh hình dáng, sắc thái và sắc độ, cũng như cách dựng hình và bố cục.
Những kinh nghiệm quý báu này sẽ giúp bạn hiểu được việc các hoạ sĩ đã thực hiện những ký hoạ của họ như thế nào để dẫn đến những danh tác mỹ thuật. 
" "
				    143				" "Sách tiếng Việt" "Âm Nhạc - Mỹ Thuật - T..." "Mỹ Thuật" "null" "78.200 đ" "115.000 đ"
https://www.fahasa.com/bach-khoa-toan-thu-thuc-hanh-hoi-hoa-402187.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935074128874.jpg "

					Bách Khoa Toàn Thư Thực Hành Hội Họa				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Jean Arestein				" "
				    Thanh Hóa				" "
				    2022				" "
				    27 x 19 cm				" "null" "
Môn nghệ thuật tạo hình giàu sức biểu cảm và sáng tạo, đó là sự kết hợp giữa những đường nét, màu sắc, hình thể, để có một bố cục hoàn hảo... với các chất liệu như chì, màu nước, sơn dầu..., nhưng trên hết là ý tưởng của người nghệ sĩ.
Bách khoa toàn thư thực hành hội họa sẽ giúp những người yêu thích học vẽ có thể tự học và thực hành hội họa thông qua phần lý thuyết căn bản và các bài tập từ đơn giản đến phức tạp, từ tổng thể đến chi tiết.
Sách dẫn dắt từng bước, từ việc làm quen với hội họa qua các dụng cụ vẽ, màu sắc, đường nét, hình thể đơn giản, quen thuộc trong cuộc sống hàng ngày; sau đó là phần nâng cao kỹ năng với thuật phối màu, phối cảnh, cách tạo mảng, khối, đậm, nhạt. Để tạo hiệu quả thẩm mỹ cao, bức tranh còn phải có bố cục chặt chẽ trong một tổng thể hài hòa, cân đối.
Đặc biệt, sách còn giới thiệu những tác phẩm nổi tiếng của các bậc danh họa như Picasso, Van Gogh, Leonardo da Vinci, Delacroix, Raphael, Michel-Angel, Rembrandt, Rubens..., qua đó chúng ta có thể cảm nhận được tài năng và phong cách của họ thể hiện trong tranh.  
" "
				    320				" "Sách tiếng Việt" "Âm Nhạc - Mỹ Thuật - T..." "Mỹ Thuật" "null" "148.240 đ" "218.000 đ"
https://www.fahasa.com/bi-quyet-hoi-hoa-luyen-ve-hinh-khoi-411173.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935074129512.jpg "

					Bí Quyết Hội Họa - Luyện Vẽ Hình Khối				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Từ Hảo, Tạ Tiên Lâm				" "
				    Thanh Hóa				" "
				    2022				" "
				    27 x 19 x 1 cm				" "
				    Bìa Mềm				" "
Bạn đam mê hội họa và muốn bắt đầu học vẽ?
Bạn gặp khó khăn trong việc tìm ra sách học phù hợp?
Bạn bối rối không biết nên bắt đầu từ đâu?
Bộ sách Bí Quyết Hội Họa sẽ là người bạn đồng hành tuyệt vời, giúp bạn có khởi đầu thuận lợi trên con đường học vẽ của mình. Bộ sách được thiết kế với từng cấp độ từ cơ bản đến nâng cao, mang đến cho bạn những kiến thức nền tảng cũng như định hướng để tiếp tục đào sâu đam mê.
LUYỆN VẼ HÌNH KHỐI trong bộ sách này sẽ giúp bạn hiểu được cấu trúc cơ bản của các vật thể trong tự nhiên. Thông qua những bài tập vẽ khối đơn giản, bạn sẽ có cái nhìn tổng quan về những kiến thức quan trọng nhất trong hội họa như ánh sáng, phối cảnh, bố cục…, tạo tiền đề cho sự phát triển kỹ năng hội họa sau này.  
" "
				    64				" "Sách tiếng Việt" "Âm Nhạc - Mỹ Thuật - T..." "Mỹ Thuật" "null" "61.600 đ" "88.000"
https://www.fahasa.com/ve-mau-nuoc-cho-nguoi-moi-bat-dau-tai-ban.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935074124852.jpg "

					Vẽ Màu Nước Cho Người Mới Bắt Đầu (Tái Bản)				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Mark, Mary Willenbrink				" "
				    Thanh Hóa				" "
				    2021				" "
				    27 x 19 x 0.5 cm				" "
				    Bìa Mềm				" "
Kể cả khi chưa bao giờ cầm cọ vẽ, bạn sẽ ngạc nhiên khi thấy việc hoàn tất một bức tranh màu nước dễ dàng như thế nào. Cuốn sách này dẫn dắt bạn qua những kiến thức thiết yếu như chất liệu, sắc độ, bảng màu và bố cục, với những hình ảnh minh họa hữu ích về các kỹ năng cơ bản và mọi thứ cần chuẩn bị cho một bức tranh.
Vẽ tranh màu nước không khó, mặc dù một số cuốn sách viết về chủ đề này có vẻ khó học. Vẽ màu nước cho người mới bắt đầu là một hướng dẫn tinh tế mà không yêu cầu bạn đọc phải có hiểu biết trước, giúp bạn vẽ tranh với cảm giác vui vẻ và kết quả đầy khích lệ. Cuốn sách này tập trung vào những điều cần thiết của người vẽ lần đầu, bao quát mọi vấn đề, từ cách chọn cọ và sắp xếp khay vẽ cho đến các nguyên tắc chính yếu của màu sắc và bố cục, trình bày một cách đơn giản để có thể giúp bạn đọc tự tin từ nét cọ đầu tiên đến khi hoàn tất tác phẩm. 
" "
				    119				" "Sách tiếng Việt" "Âm Nhạc - Mỹ Thuật - T..." "Mỹ Thuật" "null" "80.240 đ" "118.000 đ"
https://www.fahasa.com/bi-quyet-ve-but-chi-tai-ban-2023.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935074131140_1.jpg "

					Bí Quyết Vẽ Bút Chì (Tái Bản 2023)				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Huỳnh Phạm Hương Trang				" "
				    Thanh Hóa				" "
				    2023				" "
				    27 x 19 x 0.7 cm				" "
				    Bìa Mềm				" "
Bí Quyết Vẽ Bút Chì
Bút chì là công cụ không thể thiếu trong bộ đồ nghề của họa sĩ, nhất là các họa sĩ mới bắt đầu. Cuốn sách Bí Quyết Vẽ Bút Chì trình bày các bước cơ bản nhất: sử dụng bút chì, tạo nên các sắc độ, tạo các hình khối và các nét cơ bản,... rất chậm rãi, và bạn cũng cần như thế, từng bước một thực hiện các bước này.
Xuyên suốt các trang sách, Bí quyết vẽ bút chì giới thiệu tới người đọc những nguyên tắc của hình họa (con mắt - Công cụ cơ bản của phối cảnh, các đồ vật hình lập phương, sử dụng các bản phác thảo để hoàn chỉnh một hình vẽ, các đồ vật hình trụ...) vẽ phong cảnh bằng bút chì. Hi vọng đây sẽ là một tài liệu hữu ích dành cho các bạn sinh viên đang theo học các ngành thiết kế và hội họa, dùng làm tài liệu tham khảo phục vụ học tập." "
				    144				" "Sách tiếng Việt" "Âm Nhạc - Mỹ Thuật - T..." "Mỹ Thuật" "null" "107.440 đ" "158.000 đ"
https://www.fahasa.com/365-ngay-luyen-ve-nhan-vat-manga-tap-1.html https://cdn0.fahasa.com/media/catalog/product/8/9/8936214271283.jpg "

					365 Ngày Luyện Vẽ Nhân Vật Manga - Tập 1				" "" "(0 đánh giá)" "
Megabook " "
				    Lise Herzog				" "
				    Thanh Niên				" "
				    2023				" "
				    20 x 15 x 1 cm				" "
				    Bìa Mềm				" "
365 Ngày Luyện Vẽ Nhân Vật Manga - Tập 1
ƯU ĐIỂM CỦA BỘ SÁCH 365 NGÀY LUYỆN VẼ NHÂN VẬT MANGA
1. Hướng dẫn từng bước dễ hiểu
Cuốn sách 365 Ngày Luyện Vẽ Nhân Vật Manga được biên soạn cẩn thận bởi tác giả Lise Herzog với nhiều kinh nghiệm. Bạn sẽ không còn loay hoay với những nét vẽ mơ hồ, mà thay vào đó, từng bước hướng dẫn chi tiết, minh họa sẽ giúp bạn vượt qua mọi khó khăn, tạo ra những nhân vật manga đẹp mắt, truyền cảm.
2. Mỗi bài học đều có một trang trắng rộng rãi để bạn vẽ trực tiếp vào sách
Đây chính là ưu điểm tối ưu, giúp bạn thực hành và rèn luyện tay một cách tự do và sáng tạo. Không cần tìm đến giấy riêng, bạn có thể tự do thể hiện ý tưởng và ôn tập kỹ thuật vẽ ngay trong cuốn sách.
Trang trắng này chính là một thước đo chân thật về tiến bộ của bạn qua từng ngày, từng bài học. Bạn sẽ nhìn thấy sự tiến bộ rõ rệt trong từng nét vẽ, từng cử chỉ của nhân vật, và tự tin hơn mỗi khi vẽ nhờ việc thực hành liên tục. Điều này không chỉ giúp bạn trở nên thành thạo hơn trong việc vẽ manga, mà còn khơi gợi sự sáng tạo, động lực và niềm đam mê không ngừng nghỉ trong việc vẽ.
3. Đa dạng nhân vật và phong cách
365 Ngày Luyện Vẽ Nhân Vật Manga không chỉ giới hạn trong việc vẽ một loại nhân vật, mà còn mang đến sự đa dạng trong các thể loại manga. Từ nữ sinh trung học, bé gái đáng yêu, đến những loài động vật như ong, gấu mèo,..., bạn sẽ học cách tái hiện từng cá nhân, tạo nên nét đặc trưng riêng biệt cho từng nhân vật.
Không chỉ dừng lại ở hướng dẫn, 365 Ngày Luyện Vẽ Nhân Vật Manga khuyến khích sự sáng tạo và thể hiện bản thân qua nghệ thuật manga. Bạn có thể sử dụng những kiến thức đã học để tạo ra các nhân vật hoàn toàn mới, chia sẻ câu chuyện của riêng bạn và tạo nên sự khác biệt trong thế giới manga.
4. Tích hợp mã QR để xem video hướng dẫn học vẽ
Không chỉ dừng lại ở từng bước hướng dẫn trên trang sách, bạn còn có thể xem video hướng dẫn từng nét vẽ trên màn hình điện thoại hoặc máy tính. Điều này đem đến sự trải nghiệm học tập chân thực, giúp bạn tiến bộ nhanh chóng và tự tin hơn trong việc thể hiện khả năng vẽ của mình. 
" "
				    204				" "Sách tiếng Việt" "Âm Nhạc - Mỹ Thuật - T..." "Mỹ Thuật" "null" "49.680 đ" "69.000 đ"
https://www.fahasa.com/bi-quyet-ve-mau-nuoc-tai-ban.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_241334.jpg "

					Bí Quyết Vẽ Màu Nước (Tái Bản)				" "" "(0 đánh giá)" "
Cty Văn Hóa Văn Lang " "
				    Huỳnh Phạm Hương Trang				" "
				    NXB Hồng Đức				" "
				    2021				" "
				    27 x 19 x 0.7				" "
				    Bìa Mềm				" "
