Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/nhung-cau-chuyen-khoa-hoc-danh-cho-thieu-nhi-oi-chao-minh-nong-qua.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_4513.jpg "

					Những Câu Chuyện Khoa Học Dành Cho Thiếu Nhi - Ôi Chao, Mình Nóng Quá!				" "" "(0 đánh giá)" "
Đinh Tị " "
				    Từ Giảo, Tinman Arts				" "
				    NXB Hà Nội				" "
				    2019				" "
				    20 x 20.5				" "
				    Bìa Mềm				" "
Mỗi một cuốn trong bộ sách sẽ cung cấp cho độc giả nhí những thông tin khoa học thường thức về các chủ đề như vì sao Trái Đất nóng lên, lực hấp dẫn là gì, trẻ con sinh ra từ đâu, nước thải sẽ đi về đâu, chuỗi thức ăn là gì, xì hơi là như thế nào.
Trước khi đi vào giải thích cụ thể từng vấn đề nêu ra ở trên, mỗi cuốn sẽ có một câu chuyện đi kèm để dẫn dắt, giúp các độc giả nhí tiếp cận vấn đề một cách dễ dàng hơn. Ví dụ như cuốn nói về chủ đề tại sao Trái Đất ngày càng nóng lên, trước khi đưa ra nguyên do là bởi hiện tượng hiệu ứng nhà kính, mà hiệu ứng nhà kính thì lại do các chất khí nhà kính tạo thành..., cuốn sách đã dẫn ra một câu chuyện ngắn mang tính chất khơi gợi vấn đề là có một bạn Khí Nhỏ do một cô bé tạo ra, bạn Khí Nhỏ này đã đi đến rất, rất nhiều nơi. Mỗi nơi đều mang đến cho bạn ấy rất nhiều loại khí đặc biệt, khiến cho cơ thể bạn ấy ngày càng lớn dần lên, ngày càng nóng... 
" "
				    37				" "Sách tiếng Việt" "Thiếu nhi" "Kiến thức bách khoa" "Kiến Thức  Khoa Học - ..." "25.200 đ" "28.000 đ"
https://www.fahasa.com/a-le-hap-the-gioi-hoa.html https://cdn0.fahasa.com/media/catalog/product/8/9/8936203361087.jpg "

					A Lê Hấp! Thế Giới Hoa				" "" "(0 đánh giá)" "
Đông A " "
				    Yuval Zommer				" "
				    NXB Dân Trí				" "
				    2022				" "
				    31 x 21 cm				" "
				    Bìa Cứng				" "
A LÊ HẤP! THẾ GIỚI HOA
Thực đơn của bẫy ruồi Venus có món gì?
Súng Amazon lớn như thế nào?
Xương rồng có phải hoa không?
Đáp án cho những câu hỏi lý thú này đang chờ bạn lật mở. Đừng quên chơi trò tìm hình nhé. Bạn có phát hiện ra các củ màu vàng không?
Hãy nhảy ngay vào A lê hấp! Thế giới hoa để khám phá các loài hoa cỏ đủ màu sắc, kỳ lạ và tuyệt vời trên thế giới. Cẩn thận, có những thực vật ăn thịt đấy! 
