Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/b1-intermediate-work-on-your-vocabulary.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_233267.jpg "

					Collins Work On Your Vocabulary - Intermediate B1 (Tái Bản 2021)				" "" "(0 đánh giá)" "null" "
				    Collin				" "
				    NXB Tổng Hợp TPHCM				" "
				    2021				" "
				    28 x 19 x 0.5 cm				" "
				    Bìa Mềm				" "
Collins Work On Your Vocabulary - Intermediate B1
Hundreds of words to learn and remember.
Collins Work on your Vocabulary – Intermediate B1 is a new practice book that covers the key vocabulary needed by learners of English at Intermediate level (CEF level B1).
This book is an essential resource for learners who want to improve their English vocabulary. Each of the 30 units presents vocabulary relating to a particular topic using clear language and examples. This is followed by practice exercises to ensure the learner will remember and be able to use what they have learnt with confidence in their written and spoken English.
The vocabulary covered in Collins Work on your Vocabulary – Intermediate (B1) has been carefully selected based on Collins Corpus research and the experience of our language experts. As a result, this book provides plenty of useful practice with authentic, up-to-date examples of language usage in context. A carefully structured layout and simple illustrations make sure the language is always clear and the book is easy to navigate. Collins Work on your Vocabulary – Intermediate (B1) is ideal for self-study or for use in the classroom, and is an essential resource for students and teachers.
• Focuses on the vocabulary required at Intermediate level (CEF level B1)
• Thirty units with clear presentation material followed by practice exercises
• Authentic examples of real English, taken from the Collins Corpus
• Includes line drawings which illustrate key concepts
• Clear structure and presentation of language
• Plenty of room to write in
• Full answer key included
• Ideal for self-study or for use in the classroom 
" "
				    127				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Từ Vựng" "112.480 đ" "148.000"
https://www.fahasa.com/sach-luyen-tap-tu-vung-tieng-anh-t2.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786045850510.jpg "

					Sách Luyện Tập Từ Vựng Tiếng Anh - Tập 2				" "" "(0 đánh giá)" "null" "
				    Thái Quang Vinh				" "
				    NXB Tổng Hợp TPHCM				" "
				    2016				" "
				    18 x 26				" "
				    Bìa Mềm				" "
Bộ sách được thiết kế nhằm giúp cho các em đăng gặp khó khăn trong việc học tập tiếng anh tại các trung tâm ngoại ngữ và trường học
Cách sử dụng bộ sách: Hằng tuần cho bé luyện tập nhiều từ vựng và mỗi từ vựng viết từ 1 đến 2 dòng, phần còn lại để tuần kế tiếp, tháng kế tiếp. Việc này giúp các em ôn luyện thường xuyên cho đến lúc nhuần nhuyễn sẽ không quên. Nên tránh làm hết một chủ đề từ vựng trong một buổi học 
" "
				    30				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Từ Vựng" "22.500 đ" "25.000 đ"
https://www.fahasa.com/tu-dung-tu-sai-trong-tieng-anh.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_235819.jpg "

					Từ Đúng Từ Sai Trong Tiếng Anh				" "" "(0 đánh giá)" "
Cty Văn Hóa & Truyền Thông Trí Việt. " "
				    Vũ Dung, Vũ Thủy				" "
				    NXB Dân Trí				" "
				    2020				" "
				    20.5 x 13 cm				" "
				    Bìa Mềm				" "
Từ Đúng Từ Sai Trong Tiếng Anh
Sách sẽ giải thích đầy đủ về những cặp từ đúng sai dùng trong tiếng anh.
Nhận biết được ngữ cảnh, câu chuyện, ngữ pháp,.. để dùng đúng từ trong câu và trong giao tiếp. 
" "
				    316				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Từ Vựng" "98.100 đ" "109.000 đ"
https://www.fahasa.com/6000-tu-vung-tieng-anh-thong-dung-422014.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935236429573.jpg "

					6000 Từ Vựng Tiếng Anh Thông Dụng				" "" "(0 đánh giá)" "
Nhà Sách Minh Thắng " "
				    Bùi Văn Vinh, Thái Vân Anh, Đỗ Thị Lan Anh, Nguyễn Thị Phương Anh				" "
				    Đại Học Quốc Gia Hà Nội				" "
				    2023				" "
				    15 x 10 cm				" "
				    Bìa Mềm				" "
Cuốn sách gồm 6.000 từ vựng tiếng Anh thông dụng phổ biến nhất, trình bày có hệ thống, giúp người học hiểu khoảng 98% các tình huống giao tiếp và sách báo thông thường. Có thể nói cuốn sách này giống như chiếc chia khóa vạn năng” giúp người học khám phá thế giới Anh ngữ, cực kỳ phù hợp cho những bạn mới bắt đầu học, tiết kiệm thời gian và nâng cao hiệu quả
-Tối ưu khả năng ghi nhớ qua mind map
- Chinh phục 6000 từ vựng thuộc 20 chủ đề phổ biến
-Từ điển dạng bỏ túi thuận tiện học tập mọi lúc, mọi nơi
-Nâng cao vốn từ vựng của học sinh, sinh viên 
" "
				    340				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Từ Vựng" "57.800 đ" "85.000 đ"
https://www.fahasa.com/collins-work-on-your-vocabulary-a2-pre-intermediate.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_240809.jpg "

					Collins Work On Your Vocabulary A2 - Pre-Intermediate				" "" "(0 đánh giá)" "null" "
				    Collins				" "
				    NXB Tổng Hợp TPHCM				" "
				    2021				" "
				    28 x 19 cm				" "
				    Bìa Mềm				" "
Collins Work on your Vocabulary – Pre-Intermediate (A2) is a new practice book that covers the key vocabulary needed by learners of English at Pre-Intermediate level (CEF level A2).
This book is an essential resource for learners who want to improve their English vocabulary. Each of the 30 units presents vocabulary relating to a particular topic using clear language and examples. This is followed by practice exercises to ensure the learner will remember and be able to use what they have learnt with confidence in their written and spoken English.
The vocabulary covered in Collins Work on your Vocabulary – Pre-Intermediate (A2) has been carefully selected based on Collins Corpus research and the experience of our language experts. As a result, this book provides plenty of useful practice with authentic, up-to-date examples of language usage in context. A carefully structured layout and simple illustrations make sure the language is always clear and the book is easy to navigate. Collins Work on your Vocabulary – Pre-Intermediate (A2) is ideal for self-study or for use in the classroom, and is an essential resource for students and teachers.
Focuses on the vocabulary required at Pre-Intermediate level (CEF level A2)
Thirty units with clear presentation material followed by practice exercises
Authentic examples of real English, taken from the Collins Corpus
Includes line drawings which illustrate key concepts
Clear structure and presentation of language
Plenty of room to write in
Full answer key included
Ideal for self-study or for use in the classroom 
" "
				    242				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Từ Vựng" "112.480 đ" "148.000 đ"
https://www.fahasa.com/5500-tu-vung-tieng-anh-thong-dung-nhat-tai-ban-2023.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935236429078.jpg "

					5500 Từ Vựng Tiếng Anh Thông Dụng Nhất (Tái Bản 2023)				" "" "(0 đánh giá)" "
Nhà Sách Minh Thắng " "
				    Trần Mạnh Tường, Nguyễn Thị Thu Huệ				" "
				    Đại Học Quốc Gia Hà Nội				" "
				    2023				" "
				    15 x 9 x 1.6 cm				" "
				    Bìa Mềm				" "
5500 Từ Vựng Tiếng Anh Thông Dụng Nhất
Việc học Tiếng Anh trở nên cấp thiết và là nhu cầu của đa số người dùng hiện nay, việc tiếp cận Tiếng Anh giúp bạn có nhiều cơ hội hơn trong cuộc sống cũng như nâng cao kiến thức của mình. Nhằm đáp ứng nhu cầu tra cứu và mở rộng vốn từ vựng Tiếng Anh của các bạn, chúng tôi đã biên soạn cuốn 5500 Từ Vựng Tiếng Anh Thông Dụng Nhất.
- Cuốn sách cập nhật nhiều từ mới, được sử dụng phổ biến trong giao tiếp tiếng Anh hiện đại.
- Phiên âm theo chuẩn quốc tế giúp bạn phát âm chuẩn như người bản ngữ.
- Phần giải thích rõ ràng, dễ hiểu và chuẩn xác, rất tiện lợi cho việc tra cứu, sử dụng.
- Thiết kế nhỏ gọn, hình thức đẹp, có kèm theo những trang từ điển bằng hình ảnh.
- Giúp bạn hiểu tới hơn 99% nội dung trong hầu hết các tình huống giao tiếp. 
" "
				    328				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Từ Vựng" "35.360 đ" "52.000 đ"
https://www.fahasa.com/the-vocabulary-files-b1-level.html https://cdn0.fahasa.com/media/catalog/product/s/s/ssssssssss.jpg "

					The Vocabulary Files - B1 level				" "" "(0 đánh giá)" "null" "
				    Andrew Betsis, Lawrence Mamas				" "
				    NXB Tổng Hợp TPHCM				" "
				    2018				" "
				    21 x 29				" "
				    Bìa Mềm				" "
The Vocabulary Files - B1 level
The Vocabulary Files series consists of 6 Books, for CEF Levels: A1- A2 – B1 – B2 – C1 – C2The aim of the series is to give students the chance to expand their vocabulary in different areas.
Each unit deals with a common Vocabulary topic; the vocabulary is taught through a variety of exercises with lots of illustrations to make them more lively and interesting.
This series can be used as Time Fillers; when teachers have some extra time and they need something to do to help students revise what they have already been taught. Alternatively, it can also be used to help weak students enrich their vocabulary in various common topics.Levels B1, B2, C1 and C2 in this series have also been written for students who are planning to take the IELTS exam. They cover some of the main vocabulary points that IELTS candidates will need for the Listening, Reading, Writing and Speaking sections of the exam. The vocabulary that students acquire in each of these books will help them to achieve the score they want in the IELTS exam.The 15 units in each of these books, focus on topic-specific vocabulary areas, which may be required in the IELTS exam (for example, economy, education, health, etc). Some Exercises focus on general vocabulary items, which can be used in all aspects of the English language. Many of these words are relevant to specific tasks in the IELTS exam (for example, describing how something works, writing a letter or describing a house). 
" "
				    68				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Từ Vựng" "59.280 đ" "78.000 đ"
https://www.fahasa.com/but-pha-tu-vung-tieng-anh-hoc-thuat-voi-1101-tu-thiet-yeu.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786045655528.jpg "

					Bứt Phá Từ Vựng Tiếng Anh Học Thuật Với 1101 Từ Thiết Yếu				" "" "(0 đánh giá)" "
Phụ Nữ " "
				    Justin Grosslight				" "
				    NXB Phụ Nữ				" "
				    2018				" "
				    20.5 x 29.5				" "
				    Bìa Mềm				" "
BỨT PHÁ TỪ VỰNG TIẾNG ANH HỌC THUẬT VỚI 1101 TỪ THIẾT YẾU – VOCABULARY QUEST /1101+ Essential words to succeed in English là cuốn sách được thiết kế vô cùng hiệu quả bao gồm 1100+ từ vựng xuất hiện trong tiếng Anh học thuật và nâng cao, đặc biệt với các kì thi đầu vào bậc đại học.
Cuốn sách đặc biệt phù hợp với học sinh trung học phổ thông muốn cải thiện điểm số SAT hoặc ACT, với sinh viên muốn mài giũa kĩ năng viết cho kì thi GRE, và với những người chuyên nghiệp muốn đẩy mạnh hiểu biết về ngôn ngữ tiếng Anh được dùng trong phim ảnh, truyền hình, sách báo, hội họp, hội thảo v.v. 
" "
				    408				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Từ Vựng" "225.000 đ" "250.000 đ"
https://www.fahasa.com/ung-dung-sieu-tri-nho-4000-tu-vung-tieng-anh-thong-dung-nhat.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_187913.jpg "

					Ứng Dụng Siêu Trí Nhớ 4000 Từ Vựng Tiếng Anh Thông Dụng Nhất				" "" "(0 đánh giá)" "
MCBooks " "
				    The Windy				" "
				    NXB Hồng Đức				" "
				    2019				" "
				    15 x 10 x 0.5 cm				" "
				    Bìa Mềm				" "
Trong việc học ngoại ngữ nói chung và tiếng Anh nói riêng, từ vựng là nguyên liệu quan trọng nhất để bạn có thể giao tiếp thành công!
Từ vựng là yếu tố, là điều kiện cần để bạn có thể truyền đạt những tư tưởng, tình cảm và ý nghĩ của mình khi sử dụng một thứ tiếng không phải tiếng mẹ đẻ. Tromg thực tế, ngay cả khi học tiếng bản địa, bạn cũng phải nắm vững các ngôn từ của quê hương mình. Chỉ khi đó, bạn mới có thể giao tiếp và diễn đạt những điều mà mình muốn nói với những người xung quanh. Nếu không có từ vựng thì dù bộ não của bạn có bao nhiêu ý tưởng đi chăng nữa, chúng cũng sẽ mãi bị bó hẹp trong đầu bạn.
Vậy bao nhiêu từ vựng tiếng Anh thì đủ?
Trong tiếng Anh, từ vựng đặc biệt quan trọng, đây là một tế bào cực kỳ cần thiết giúp hình thành khả năng sử dụng ngoại ngữ của bạn. Học một ngoại ngữ vốn đã khó, nếu không nắm chắc từ vựng, bạn càng không thể sử dụng thành thạo ngoại ngữ đó. Nếu chỉ biết một số từ vựng nhất định, bạn sẽ bị hạn chế biết bao! Nhất là khi tiếng Anh có những từ có thể mang nhiều nghĩa khác, những từ phát âm gần giống nhau nhưng nghĩa hoàn toàn khác nhau. Theo nghiên cứu, khi chúng ta năm được khoảng 4000 từ vựng là chúng ta có thể giao tiếp tiếng Anh ở múc khá.
Làm thế nào để học từ vựng tiếng Anh hiệu quả?
Để có thể học từ vựng tiếng Anh, bạn cần biết những từ vựng mình cần học, sắp xếp chúng theo lộ trình học tập bài bản. Tuy nhiên thì những người học tiếng Anh không biết những từ nào là cần thiết và cũng không có đủ khả năng để tổng hợp những từ vựng ấy một cách khoa học, đó là lý do mà chúng ta cần tìm một tài liệu học từ vựng có đủ số lượng chúng ta cần và quan trọng là có một phương pháp đặc biệt để chúng ta có thể học nhanh chóng và nhớ lâu hơn.
Cuốn sách “Ứng dụng siêu trí nhớ 4000 từ vựng tiếng Anh thông dụng nhất” là cuốn cẩm nang không thể thiếu cho những người học tiếng Anh.
Nhiều bạn thường biện minh cho việc học kém của mình là do họ có trí nhớ kém. Điều này quả không sai. Nhiều học sinh có ý nghĩ sai lầm rằng khả năng ghi nhớ tốt là năng khiếu hoặc tài năng mà một số người có, một số người không. Những người nghĩ họ không có trí nhớ tốt từ bỏ việc cố gắng nhớ đầy đủ thông tin vì họ nghĩ họ sẽ quên hết chúng. Hậu quả chắc chắn là việc có trí nhớ kém nghiễm nhiên trở thành lý do mà họ dùng để biện hộ cho thất bại. Cứ như thế, họ sẽ luôn luôn nhận lãnh những kết quả kém. Nhưng nếu như chúng ta biết học cách sở hữu những kỹ thuật tận dụng được trí nhớ của mình thì việc học của bạn hoàn toàn có thể thay đổi được và bạn cũng có thể có trí nhớ siêu đẳng.
Điều đầu tiên bạn nên hiểu là không hề tồn tại trí nhớ tốt hay trí nhớ kém, mà chỉ tồn tại trí nhớ được rèn luyện và trí nhớ không được rèn luyện. Theo chuyên gia về trí nhớ Harry Lorayne, những người có khả năng nhớ thông tin phi thường không hề có bộ não khác biệt với chúng ta. Thay vào đó, họ sở hữu những kỹ thuật tận dụng được trí nhớ của họ. Bởi thế, xin nhớ rằng trí nhớ không phải là một năng khiếu. Mỗi người trong chúng ta đều sở hữu một trí nhớ phi thường tự nhiên mà chúng ta chỉ cần học cách tận dụng nó.
Cuốn sách “Ứng dụng siêu trí nhớ 4000 từ vựng tiếng Anh thông dụng nhất” được biên soạn với mục tiêu giúp bạn học từ vựng tiếng Anh hiệu quả nhất cho những người muốn tăng cường khả năng ghi nhớ tối ưu tiềm năng của não bộ, sau đó sử dụng đúng và nhạy bén những gì mình nhớ để áp dụng vào giao tiếp thực tế. Về mặt nội dung, cuốn sách tập trung vào 4000 từ vựng thông dụng nhất được sử dụng nhiều nhất trong giao tiếp cuộc sống hằng ngày, các bài thi, mặt khác trau dồi thêm cho các bạn học viên có thêm các kỹ thuật để ghi nhớ từ vựng một cách tối ưu nhất.
Cuốn sách được chia làm các phần nội dung:
Định nghĩa về trí nhớ và những sự thật thú vị về trí nhớ
Các yếu tố then chốt rèn luyện trí nhớ hiệu quả
Các nguyên tắc cơ bản của trí nhớ
Vận dụng năng lực trí nhớ cho việc học từ vựng tiếng Anh hiệu quả
Các âm trong tiếng Anh
Phần 4000 từ vựng
Chúc các bạn giao tiếp được tiếng Anh lưu loát và vượt qua các kì thi và đặc biệt là rèn luyện được khả năng ghi nhớ từ vựng xuất sắc cho mình sau khi học xong cuốn sách này. 
" "
				    468				" "Sách tiếng Việt" "Sách học ngoại ngữ" "Tiếng Anh" "Từ Vựng" "83.300 đ" "119.000 đ"
https://www.fahasa.com/quy-tac-hoa-dong-tu-bat-quy-tac-trong-tieng-anh.html https://cdn0.fahasa.com/media/catalog/product/9/7/9786048470586.jpg "

					Quy Tắc Hóa Động Từ Bất Quy Tắc Tiếng Anh				" "" "(0 đánh giá)" "null" "
				    Hoài Thương, Thanh Hải				" "
				    Đà Nẵng				" "
				    2023				" "
				    20.5 x 14.5 x 0.5 cm				" "
				    Bìa Mềm				" "
Quy Tắc Hóa Động Từ Bất Quy Tắc Tiếng Anh
Bạn đọc thân mến,
Bạn đang cầm trên tay một cuốn sách khác lạ và thú vị về động từ bất quy tắc trong tiếng Anh. Mặc dù trên thị trường đã có nhiều cuốn sách về chủ đề này, nhưng hướng tiếp cận và trình bày của cuốn sách này hoàn toàn khác biệt.
Ngay từ khi bắt đầu chú tâm đến tiếng Anh, chúng tôi đã luôn cảm thấy đây là một ngôn ngữ rất lôgic, khoa học và hệ thống. Cuốn sách này chính là một minh chứng cho điều đó. Ngay cả đối với những thứ bất quy tắc thì vẫn tồn tại những quy tắc “ngầm” hay khuôn thức trong đó. Vì vậy, cuốn sách này sắp xếp các động từ bất quy tắc theo các khuôn thức được tìm thấy, thay vì liệt kê theo thứ tự bảng chữ cái như thông thường. Bằng cách này, bạn sẽ ghi nhớ một cách dễ dàng nhờ lối tư duy sáng tỏ và khoa học.
Điểm khác biệt thứ hai là cuốn sách chỉ tập trung trình bày, chú giải nghĩa và lấy ví dụ minh họa cho những động từ thông dụng nhất, thuộc danh mục Oxford 3000TM (danh mục 3000 từ khóa cốt lõi của Oxford), là nhóm từ vựng ưu tiên dựa theo tầm quan trọng và tính hữu ích của chúng, từ cấp độ A1 đến B2 CEFR.
